"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2014","118.61","112.47","118.98","112.43","","5.62%"
"10/01/2014","112.30","109.64","112.48","105.19","","2.43%"
"09/01/2014","109.64","104.06","109.86","104.05","","5.37%"
"08/01/2014","104.05","102.79","104.45","101.50","","1.23%"
"07/01/2014","102.79","101.34","103.10","101.06","","1.47%"
"06/01/2014","101.30","101.83","102.81","101.23","","-0.47%"
"05/01/2014","101.78","102.24","103.04","100.82","","-0.45%"
"04/01/2014","102.24","103.21","104.14","101.32","","-0.92%"
"03/01/2014","103.19","101.55","103.76","101.19","","1.37%"
"02/01/2014","101.80","102.03","102.83","100.75","","-0.23%"
"01/01/2014","102.03","105.29","105.46","101.78","","-3.11%"
"12/01/2013","105.30","102.45","105.43","101.63","","2.82%"
"11/01/2013","102.41","98.36","102.62","97.64","","4.13%"
"10/01/2013","98.35","98.21","99.01","96.57","","0.14%"
"09/01/2013","98.21","98.38","100.61","97.50","","0.06%"
"08/01/2013","98.15","97.88","99.96","95.80","","0.30%"
"07/01/2013","97.86","99.29","101.54","97.57","","-1.27%"
"06/01/2013","99.12","100.57","100.76","93.79","","-1.33%"
"05/01/2013","100.46","97.44","103.75","97.04","","3.13%"
"04/01/2013","97.41","94.21","99.96","92.56","","3.42%"
"03/01/2013","94.19","92.56","96.72","92.43","","1.79%"
"02/01/2013","92.53","91.71","94.78","90.94","","0.88%"
"01/01/2013","91.72","86.75","91.79","86.53","","5.74%"
"12/01/2012","86.74","82.37","86.80","81.71","","5.20%"
