"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2022","1,870.82","1,916.90","1,978.39","1,808.77","27.95B","-2.19%"
"05/01/2022","1,912.67","1,899.92","1,926.18","1,826.51","26.93B","0.69%"
"04/01/2022","1,899.62","1,933.04","1,967.68","1,842.78","23.22B","-2.40%"
"03/01/2022","1,946.40","1,903.34","1,994.32","1,755.14","31.11B","3.15%"
"02/01/2022","1,886.93","1,907.08","1,969.73","1,843.38","23.53B","-0.47%"
"01/01/2022","1,895.93","2,015.61","2,042.00","1,835.26","23.76B","-4.84%"
"12/01/2021","1,992.33","1,930.88","2,014.43","1,914.93","23.05B","3.32%"
"11/01/2021","1,928.35","2,027.27","2,062.81","1,928.35","25.89B","-3.64%"
"10/01/2021","2,001.18","2,010.40","2,041.71","1,927.66","26.72B","-1.43%"
"09/01/2021","2,030.16","1,965.74","2,120.18","1,965.54","26.33B","3.54%"
"08/01/2021","1,960.70","1,917.65","1,970.38","1,877.38","21.39B","3.14%"
"07/01/2021","1,901.08","1,949.20","1,973.35","1,881.01","20.15B","-2.19%"
"06/01/2021","1,943.57","1,930.74","1,983.13","1,890.15","22.82B","1.07%"
"05/01/2021","1,922.98","1,919.10","1,955.51","1,845.72","22.78B","1.30%"
"04/01/2021","1,898.24","1,971.78","1,989.09","1,879.68","22.58B","-2.85%"
"03/01/2021","1,954.00","1,888.61","2,013.71","1,859.88","33.23B","4.80%"
"02/01/2021","1,864.49","1,806.63","1,974.99","1,806.63","25.13B","3.08%"
"01/01/2021","1,808.78","1,810.45","1,885.93","1,776.60","23.65B","0.23%"
"12/01/2020","1,804.68","1,765.55","1,819.46","1,751.63","24.31B","2.84%"
"11/01/2020","1,754.92","1,592.16","1,792.97","1,591.49","27.28B","11.12%"
"10/01/2020","1,579.33","1,625.49","1,660.49","1,577.45","20.81B","-2.84%"
"09/01/2020","1,625.49","1,613.64","1,665.90","1,593.89","24.26B","0.45%"
"08/01/2020","1,618.18","1,510.23","1,636.57","1,508.13","23.13B","8.16%"
"07/01/2020","1,496.06","1,562.30","1,590.62","1,496.06","24.92B","-4.02%"
"06/01/2020","1,558.77","1,563.81","1,633.40","1,530.78","30.06B","-0.31%"
"05/01/2020","1,563.67","1,452.46","1,578.50","1,418.88","25.69B","6.81%"
"04/01/2020","1,464.03","1,388.66","1,478.84","1,314.11","29.46B","4.35%"
"03/01/2020","1,403.04","1,488.96","1,551.99","1,199.25","48.16B","-7.14%"
"02/01/2020","1,510.87","1,660.66","1,744.43","1,500.87","25.50B","-10.30%"
"01/01/2020","1,684.44","1,699.60","1,745.95","1,667.30","21.42B","-2.14%"
"12/01/2019","1,721.36","1,705.99","1,747.20","1,691.15","22.90B","1.29%"
"11/01/2019","1,699.36","1,653.80","1,719.57","1,653.72","25.55B","1.94%"
"10/01/2019","1,667.01","1,595.35","1,669.91","1,560.83","24.89B","4.99%"
"09/01/2019","1,587.80","1,506.12","1,635.88","1,501.11","24.22B","5.02%"
"08/01/2019","1,511.86","1,556.12","1,568.41","1,462.41","23.98B","-3.40%"
"07/01/2019","1,565.14","1,573.09","1,593.50","1,531.31","22.99B","0.90%"
"06/01/2019","1,551.14","1,491.54","1,563.45","1,490.28","22.12B","2.57%"
"05/01/2019","1,512.28","1,616.84","1,617.26","1,508.85","26.52B","-6.53%"
"04/01/2019","1,617.93","1,612.13","1,633.96","1,600.49","23.19B","1.65%"
"03/01/2019","1,591.64","1,612.47","1,629.88","1,570.39","24.87B","-1.00%"
"02/01/2019","1,607.66","1,565.63","1,624.42","1,536.65","23.73B","2.56%"
"01/01/2019","1,567.49","1,468.42","1,574.86","1,446.48","24.11B","4.91%"
"12/01/2018","1,494.09","1,687.77","1,696.14","1,408.89","29.27B","-10.40%"
"11/01/2018","1,667.45","1,647.10","1,687.68","1,598.54","30.79B","1.30%"
"10/01/2018","1,646.12","1,814.05","1,838.30","1,581.56","32.94B","-9.42%"
"09/01/2018","1,817.25","1,730.77","1,828.23","1,673.92","26.18B","4.72%"
"08/01/2018","1,735.35","1,762.92","1,774.34","1,667.95","29.70B","-1.02%"
"07/01/2018","1,753.29","1,725.55","1,775.76","1,671.95","28.40B","1.29%"
"06/01/2018","1,730.89","1,742.65","1,802.94","1,711.75","29.86B","-0.95%"
"05/01/2018","1,747.45","1,774.36","1,819.74","1,731.28","32.10B","-1.68%"
"04/01/2018","1,777.23","1,716.32","1,780.38","1,687.00","28.80B","3.55%"
"03/01/2018","1,716.30","1,754.43","1,754.53","1,645.16","29.34B","-2.94%"
"02/01/2018","1,768.24","1,849.53","1,870.94","1,691.65","32.23B","-3.73%"
"01/01/2018","1,836.71","1,841.20","1,911.31","1,836.68","29.63B","1.05%"
"12/01/2017","1,817.56","1,804.80","1,833.28","1,761.18","30.95B","1.42%"
"11/01/2017","1,792.08","1,775.99","1,844.05","1,737.72","36.40B","1.48%"
"10/01/2017","1,765.96","1,677.77","1,772.59","1,671.05","34.46B","5.45%"
"09/01/2017","1,674.75","1,624.37","1,679.83","1,578.66","33.64B","3.55%"
"08/01/2017","1,617.41","1,619.13","1,642.34","1,589.05","35.37B","-0.07%"
"07/01/2017","1,618.61","1,613.65","1,636.53","1,602.47","34.46B","0.42%"
"06/01/2017","1,611.90","1,570.47","1,627.54","1,570.24","39.49B","2.78%"
"05/01/2017","1,568.37","1,531.45","1,590.70","1,530.31","37.72B","2.39%"
"04/01/2017","1,531.80","1,518.90","1,538.89","1,452.15","38.34B","1.27%"
"03/01/2017","1,512.60","1,543.11","1,578.51","1,512.60","39.81B","-1.48%"
"02/01/2017","1,535.32","1,511.26","1,559.51","1,507.08","38.83B","0.90%"
"01/01/2017","1,521.67","1,533.04","1,558.45","1,495.03","36.13B","0.20%"
"12/01/2016","1,518.61","1,486.08","1,558.75","1,462.07","46.47B","3.35%"
"11/01/2016","1,469.43","1,391.97","1,473.02","1,287.39","48.21B","5.49%"
"10/01/2016","1,393.02","1,332.14","1,393.44","1,329.06","34.29B","5.31%"
"09/01/2016","1,322.78","1,330.77","1,357.41","1,296.39","35.75B","-0.51%"
"08/01/2016","1,329.54","1,308.30","1,331.00","1,262.86","38.97B","0.51%"
"07/01/2016","1,322.74","1,254.87","1,347.24","1,209.88","41.09B","6.17%"
"06/01/2016","1,245.82","1,369.96","1,374.37","1,192.80","44.64B","-9.71%"
"05/01/2016","1,379.80","1,316.57","1,380.88","1,289.01","38.09B","2.93%"
